                                       353 readdirplus
                                       223 setattr
                                        90 create
                                        70 rename
                                        33 read
                                         5 remove
2017-11-7 12:20:59        20691      11821 getattr
                                      5916 access
                                       690 fsstat
                                       612 write
                                       511 lookup
                                       381 commit
                                       314 readdirplus
                                       211 setattr
                                        82 read
                                        81 create
                                        67 rename
                                         5 remove
2017-11-7 12:21:00        18395      10526 getattr
                                      5122 access
                                       637 fsstat
                                       578 write
                                       415 lookup
                                       380 commit
                                       340 readdirplus
                                       181 setattr
                                        89 read
                                        68 create
                                        56 rename
                                         3 remove
2017-11-7 12:21:01        23260      13172 getattr
                                      6459 access
                                      1122 lookup
                                       720 fsstat
Highest NFSv3 Read and Write operations broken down by time: 
2017-11-7 12:24:18 27179 read
2017-11-7 06:41:45 25976 write
2017-11-7 06:41:44 25976 write
2017-11-7 06:41:43 24977 write
2017-11-7 06:41:46 23488 write
2017-11-7 12:24:17 22011 read
2017-11-7 12:24:19 21559 read
2017-11-7 06:40:36 21482 write
2017-11-7 06:41:41 21390 write
2017-11-7 06:41:35 19609 write
2017-11-7 06:41:40 19448 write
2017-11-7 06:40:35 18946 write
2017-11-7 06:42:06 18495 write
2017-11-7 06:42:07 18346 write
2017-11-7 06:40:37 18258 write
2017-11-7 12:23:50 17949 read
2017-11-7 06:41:39 17628 write
2017-11-7 12:16:59 16077 read
2017-11-7 06:42:05 15089 write
2017-11-7 12:20:55 14776 read
2017-11-7 06:42:08 14680 write
2017-11-7 06:40:38 14440 write
2017-11-7 06:41:38 14389 write
2017-11-7 06:41:34 14343 write
2017-11-7 16:47:35 14292 read
2017-11-7 06:41:36 13390 write
2017-11-7 06:40:34 13028 write
2017-11-7 12:23:53 12562 read
2017-11-7 12:23:52 12562 read
2017-11-7 06:43:03 12063 write
2017-11-7 06:42:09 12011 write
2017-11-7 06:02:35 11403 read
2017-11-7 06:40:39 11074 write
2017-11-7 06:43:04 11037 write
2017-11-7 06:42:35 10928 write
2017-11-7 06:42:37 10916 write
2017-11-7 06:43:05 10710 write
2017-11-7 06:42:36 10705 write
